title,chart_week,performer,peak_pos,wks_on_chart,album_name,release_date,popularity,explicit,listeners,play_count,duration_s,genre
What I Want,2025-06-28,Morgan Wallen,1,5,10 MINUTES,2025-05-23,3,True,747,4557,160.0,country
Just In Case,2025-06-28,Morgan Wallen,2,13,Just In Case,2025-03-21,85,False,65582,489525,166.206,country
Luther,2025-06-28,Kendrick Lamar,1,30,GNX,2024-11-21,92,False,375458,1108166,177.598,hip hop
I'm The Problem,2025-06-28,Morgan Wallen,2,20,I'm The Problem,2025-01-31,82,False,84716,620843,177.811,country
Die With A Smile,2025-06-28,Lady Gaga,1,44,Die With A Smile,2024-08-16,98,False,1412509,23765285,251.667,art pop
Nokia,2025-06-28,Drake,2,18,$ome $exy $ongs 4 U,2025-02-14,93,True,504427,5799511,241.023,rap
Love Me Not,2025-06-28,Ravyn Lenae,17,12,Love Me Not / Love Is Blind,2024-05-03,90,False,652150,7893941,213.466,alternative r&b
All The Way,2025-06-28,BigXthaPlug,4,11,Double Brutal,2009-09-29,22,False,6346,11447,192.093,southern hip hop
Worst Way,2025-06-28,Riley Green,20,23,Way Out Here,2024-04-12,86,False,57109,418307,220.558,country
Love Somebody,2025-06-28,Morgan Wallen,1,35,Love Somebody,2024-10-18,85,False,137144,1074253,204.828,country
Weren't For The Wind,2025-06-28,Ella Langley,23,20,weren't for the wind,2024-10-04,79,False,40764,322503,193.666,country
30 For 30,2025-06-28,SZA,10,26,SOS Deluxe: LANA,2024-12-20,85,True,3793,19677,278.277,r&b
APT.,2025-06-28,ROSE,3,35,APT.,2024-10-18,94,False,1412,6806,169.917,k-pop
I Got Better,2025-06-28,Morgan Wallen,7,5,I’m The Problem,2025-05-16,89,False,41289,269088,204.963,country
20 Cigarettes,2025-06-28,Morgan Wallen,20,5,I’m The Problem,2025-05-16,87,False,30470,221995,160.901,country
Burning Blue,2025-06-28,Mariah The Scientist,25,7,Burning Blue,2025-05-02,82,False,50762,413909,205.724,alternative r&b
Dark Thoughts,2025-06-28,Lil Tecca,28,14,Dark Thoughts,2025-03-14,90,True,374604,4685531,136.991,melodic rap
Killin' It Girl,2025-06-28,j-hope,40,1,Killin' It Girl (feat. GloRilla),2025-06-13,89,True,348,26731,148.714,k-pop
Superman,2025-06-28,Morgan Wallen,8,6,I’m The Problem,2025-05-16,85,False,38827,212315,188.2,country
Abracadabra,2025-06-28,Lady Gaga,13,20,Abracadabra,2025-02-03,91,False,856472,17147720,223.398,art pop
TV Off,2025-06-28,Kendrick Lamar,2,30,Super Bowl LIX Halftime Show (Live),2025-02-09,66,True,319416,950621,800.699,hip hop
Backup Plan,2025-06-28,Bailey Zimmerman,36,7,Backup Plan (feat. Luke Combs),2025-05-02,83,False,351,1028,181.518,country
No One Noticed,2025-06-28,The Marias,22,38,Submarine,2024-05-31,93,False,501,3637,236.906,bedroom pop
Shake It To The Max (Fly),2025-06-28,MOLIY,47,5,Shake It To The Max (FLY) (Remix),2025-02-21,94,True,23130,91322,178.775,alté
Squabble Up,2025-06-28,Kendrick Lamar,1,30,GNX,2024-11-22,87,True,987128,11017438,157.992,hip hop
Happen To Me,2025-06-28,Russell Dickerson,49,9,Happen To Me,2025-02-21,80,False,14036,82048,183.615,country
OWA OWA,2025-06-28,Lil Tecca,50,3,OWA OWA,2025-05-30,87,True,190269,1335827,132.38,melodic rap
Hard Fought Hallelujah,2025-06-28,Brandon Lake X Jelly Roll,40,18,Weapons of Mass Destruction (Clean),2004-12-14,9,False,1,1,259.88,christian
After All The Bars Are Closed,2025-06-28,Thomas Rhett,53,8,About A Woman,2024-08-23,74,False,22524,98448,191.839,country
Somebody Loves Me,2025-06-28,PARTYNEXTDOOR,30,18,$ome $exy $ongs 4 U,2025-02-14,83,True,156825,1197448,182.767,dark r&b
Azizam,2025-06-28,Ed Sheeran,28,11,Azizam,2025-04-04,93,False,154071,759935,162.029,soft pop
TN,2025-06-28,Morgan Wallen,31,5,I’m The Problem,2025-05-16,84,False,25514,197211,185.138,country
Backseat Driver,2025-06-28,Kane Brown,60,15,Backseat Driver,2024-10-11,73,False,13184,53097,228.066,country
Indigo,2025-06-28,Sam Barber,40,28,Restless Mind,2024-11-01,88,False,3628,27416,286.634,country
Party 4 U,2025-06-28,Charli xcx,55,9,how i'm feeling now,2020-05-15,93,False,804975,11237528,296.653,hyperpop
Your Way's Better,2025-06-28,Forrest Frank,61,9,CHILD OF GOD (DELUXE),2024-11-01,79,False,19939,150553,198.082,christian pop
Dark Til Daylight,2025-06-28,Morgan Wallen,49,5,I’m The Problem,2025-05-16,83,False,20877,142256,235.566,country
I'm A Little Crazy,2025-06-28,Morgan Wallen,17,13,I'm A Little Crazy,2025-03-21,78,False,36716,217109,199.06,country
Lemon Drop,2025-06-28,ATEEZ,69,1,GOLDEN HOUR : Part.3,2025-06-13,80,False,57336,758183,179.395,k-pop
Won't Stop,2025-06-28,Gunna,70,1,Won't Stop,2025-06-13,80,True,42976,119442,181.533,melodic rap
Marlboro Rojo,2025-06-28,Fuerza Regida,71,6,111XPANTIA,2025-05-02,92,True,29734,210468,184.173,corrido
Tu Sancho,2025-06-28,Fuerza Regida,73,3,111XPANTIA,2025-05-02,93,True,32217,237754,177.994,corrido
Rather Lie,2025-06-28,Playboi Carti,4,14,MUSIC,2025-03-14,87,True,295836,913295,209.68,rage rap
House Again,2025-06-28,Hudson Westbrook,72,9,House Again,2024-10-18,83,False,30693,242240,203.822,country
Fix What You Didn't Break,2025-06-28,Nate Smith,64,12,Fix What You Didn't Break,2024-08-23,71,False,19232,109791,201.555,country
Half The Plot,2025-06-28,Lil Tecca,78,1,DOPAMINE,2025-06-13,80,True,96533,348638,165.937,melodic rap
Eyes Are Closed,2025-06-28,Morgan Wallen,22,5,I’m The Problem,2025-05-16,83,True,23681,127607,197.188,country
Me Jalo,2025-06-28,Fuerza Regida,48,18,MALA MÍA,2024-12-19,91,True,92587,1091832,212.002,corrido
EOO,2025-06-28,Bad Bunny,24,22,DeBÍ TiRAR MáS FOToS,2025-01-05,94,True,320634,3606763,204.768,reggaeton
Thought It Was Love,2025-06-28,Ty Myers,79,5,The Select,2025-01-24,82,False,32905,328081,246.141,country
Sapphire,2025-06-28,Ed Sheeran,74,2,Sapphire,2025-06-05,91,False,59464,270783,179.082,soft pop
Where'd That Girl Go,2025-06-28,Morgan Wallen,32,5,I’m The Problem,2025-05-16,82,False,21299,117991,151.228,country
Kick Myself,2025-06-28,Morgan Wallen,21,5,I’m The Problem,2025-05-16,82,True,22219,145387,159.297,country
Kiss Her In Front Of You,2025-06-28,Morgan Wallen,34,5,I’m The Problem,2025-05-16,82,False,18256,110721,178.227,country
Twilight Zone,2025-06-28,Ariana Grande,18,11,twilight zone,2025-06-20,66,False,397418,5786397,198.32,pop
Holy Blindfold,2025-06-28,Chris Brown,89,1,Holy Blindfold,2025-06-13,80,False,16338,65607,170.4,r&b
